text,label
"지금 바로 참여하면 100만원 지급 이벤트 당첨","spam"
"무료 쿠폰 증정! 지금 클릭하세요","spam"
"대출 한도 즉시 확인 가능합니다","spam"
"지금 신청하면 사은품 드립니다","spam"
"당첨을 축하드립니다. 상품을 수령하세요","spam"
"이번 주 회의 일정 공유드립니다","ham"
"첨부된 보고서 검토 부탁드립니다","ham"
"오늘 점심에 시간 괜찮으세요?","ham"
"내일 프로젝트 관련 미팅 있습니다","ham"
"자료 수정해서 다시 보내주세요","ham"
"한정 수량 특가 할인 중입니다","spam"
"지금 바로 구매하시면 혜택 드립니다","spam"
"회의실 예약 완료되었습니다","ham"
"세미나 일정 안내 메일입니다","ham"
"결제 내역 확인 부탁드립니다","ham"
"무료 체험 신청하세요","spam"
"이번 달 업무 일정 공유합니다","ham"
"안녕하세요, 문의 주신 내용에 대한 답변입니다","ham"
"긴급! 지금 확인하지 않으면 혜택 종료","spam"
"팀 회식 일정 다시 공지드립니다","ham"
